document_id,document_type,company_name,supplier_name,date,item_description,quantity,unit_price,raw_total_amount,final_total_amount,total_status,payable_amount,currency,status,language,raw_text,corrected_text,source_json,correction_log,correction_confidence,items_json
DOC00019,delivery_note,සිංහ වෙළඳ සමාගම,Tech World,2025-03-09,Keyboards,34.0,2500.0,85000.0,85000.0,valid,85000.0,LKR,unpaid,english,,,,,,
DOC00020,purchase_order,ග්‍රීන් මාර්ට්,ලංකා වෙළඳ සමාගම,2024-05-03,Tables,34.0,1000.0,34000.0,34000.0,valid,34000.0,LKR,unpaid,english,,,,,,
DOC00021,invoice,සහන් ට්‍රේඩර්ස්,Lanka Foods,2025-08-25,Mouse Devices,36.0,150.0,5400.0,5400.0,valid,5400.0,LKR,unpaid,english,,,,,,
DOC00022,invoice,ABC Traders,City Office Supplies,2024-03-13,Printer Paper,3.0,500.0,1500.0,1500.0,valid,1500.0,LKR,unpaid,english,,,,,,
DOC00023,delivery_note,Metro Lanka,කාර්යාල උපකරණ,2025-08-13,යතුරුපුවරු,47.0,2500.0,117500.0,117500.0,valid,117500.0,LKR,delivered,sinhala,,,,,,
DOC00024,delivery_note,ග්‍රීන් මාර්ට්,City Office Supplies,2025-03-17,Printer Paper,7.0,5000.0,35000.0,35000.0,valid,35000.0,LKR,pending,english,,,,,,
DOC00025,delivery_note,නව වෙළඳසැල,Lanka Foods,2026-01-15,සීනි පැකට්,4.0,850.0,3400.0,3400.0,valid,3400.0,LKR,pending,sinhala,,,,,,
DOC00026,receipt,Metro Lanka,City Office Supplies,2024-07-06,Files,29.0,120.0,3480.0,3480.0,valid,3480.0,LKR,pending,english,,,,,,
DOC00027,receipt,XYZ Company,ඩිජිටල් උපකරණ,2024-04-05,පෑන්,7.0,50.0,350.0,350.0,valid,0.0,LKR,unpaid,sinhala,,,,,,
DOC00028,delivery_note,නව වෙළඳසැල,ඩිජිටල් උපකරණ,2024-06-17,Pens,26.0,50.0,1300.0,1300.0,valid,1300.0,LKR,delivered,english,,,,,,
DOC00029,delivery_note,Prime Solutions,ඩිජිටල් උපකරණ,2026-01-18,Keyboards,28.0,8500.0,238000.0,238000.0,valid,238000.0,LKR,delivered,english,,,,,,
DOC00030,receipt,Prime Solutions,City Office Supplies,2026-02-04,Rice Bags,38.0,8500.0,323000.0,323000.0,valid,0.0,LKR,pending,english,,,,,,
DOC00031,invoice,ලංකා සපයන්නෝ,ඩිජිටල් උපකරණ,2024-02-28,Files,34.0,120.0,4080.0,4080.0,valid,4080.0,LKR,paid,english,,,,,,
DOC00032,invoice,ලංකා සපයන්නෝ,Metro Suppliers,2025-08-06,Pens,26.0,100.0,2600.0,2600.0,valid,2600.0,LKR,unpaid,english,,,,,,
DOC00033,invoice,ග්‍රීන් මාර්ට්,සීග්‍ර සැපයුම්,2024-09-24,Mouse Devices,34.0,500.0,17000.0,17000.0,valid,17000.0,LKR,unpaid,english,,,,,,
DOC00034,receipt,Prime Solutions,නව ආහාර සපයන්නෝ,2025-04-13,යතුරුපුවරු,43.0,5000.0,215000.0,215000.0,valid,215000.0,LKR,pending,sinhala,,,,,,
DOC00035,invoice,නව වෙළඳසැල,සීග්‍ර සැපයුම්,2025-07-04,Mouse Devices,7.0,100.0,700.0,700.0,valid,700.0,LKR,unpaid,english,,,,,,
DOC00036,receipt,සහන් ට්‍රේඩර්ස්,Metro Suppliers,2025-03-24,මේස,24.0,220.0,5280.0,5280.0,valid,0.0,LKR,pending,sinhala,,,,,,
DOC00037,purchase_order,XYZ Company,Tech World,2026-01-30,Keyboards,8.0,100.0,800.0,800.0,valid,800.0,LKR,unpaid,english,,,,,,
DOC00038,purchase_order,ලංකා සපයන්නෝ,City Office Supplies,2025-10-11,ලිපිගොනු,14.0,5000.0,70000.0,70000.0,valid,70000.0,LKR,pending,sinhala,,,,,,
DOC00039,purchase_order,ABC Traders,Metro Suppliers,2024-01-04,පරිගණක මූසික,18.0,50.0,900.0,900.0,valid,900.0,LKR,pending,sinhala,,,,,,
DOC00040,purchase_order,Sun Holdings,ඩිජිටල් උපකරණ,2025-07-28,Files,46.0,850.0,39100.0,39100.0,valid,39100.0,LKR,paid,english,,,,,,
DOC00041,invoice,Sun Holdings,කාර්යාල උපකරණ,2025-07-19,Rice Bags,24.0,2500.0,60000.0,60000.0,valid,60000.0,LKR,unpaid,english,,,,,,
DOC00042,receipt,ABC Traders,Digital Hub,2025-11-29,ලිපිගොනු,3.0,500.0,1500.0,1500.0,valid,0.0,LKR,unpaid,sinhala,,,,,,
DOC00043,purchase_order,සිංහ වෙළඳ සමාගම,නව ආහාර සපයන්නෝ,2024-08-30,Mouse Devices,48.0,120.0,5760.0,5760.0,valid,5760.0,LKR,unpaid,english,,,,,,
DOC00044,delivery_note,ABC Traders,Tech World,2026-01-22,Monitors,27.0,5000.0,135000.0,135000.0,valid,135000.0,LKR,unpaid,english,,,,,,
DOC00045,receipt,XYZ Company,නව ආහාර සපයන්නෝ,2025-04-16,මුද්‍රණ කඩදාසි,31.0,150.0,4650.0,4650.0,valid,0.0,LKR,pending,sinhala,,,,,,
DOC00046,receipt,Metro Lanka,Lanka Foods,2024-03-12,මේස,26.0,500.0,13000.0,13000.0,valid,13000.0,LKR,pending,sinhala,,,,,,
DOC00047,delivery_note,සිංහ වෙළඳ සමාගම,ලංකා වෙළඳ සමාගම,2024-07-01,මුද්‍රණ කඩදාසි,8.0,220.0,1760.0,1760.0,valid,1760.0,LKR,pending,sinhala,,,,,,
DOC00048,invoice,ලංකා සපයන්නෝ,නව ආහාර සපයන්නෝ,2025-03-22,Monitors,47.0,500.0,23500.0,23500.0,valid,23500.0,LKR,paid,english,,,,,,
DOC00049,receipt,Prime Solutions,Lanka Foods,2025-01-07,පරිගණක මූසික,1.0,1200.0,1200.0,1200.0,valid,0.0,LKR,delivered,sinhala,,,,,,
DOC00050,purchase_order,ලංකා සපයන්නෝ,ලංකා වෙළඳ සමාගම,2025-06-03,Printer Paper,47.0,220.0,10340.0,10340.0,valid,10340.0,LKR,pending,english,,,,,,
DOC00051,purchase_order,ග්‍රීන් මාර්ට්,Digital Hub,2025-03-06,පෑන්,9.0,150.0,1350.0,1350.0,valid,1350.0,LKR,delivered,sinhala,,,,,,
DOC00052,purchase_order,ග්‍රීන් මාර්ට්,කාර්යාල උපකරණ,2024-08-03,Rice Bags,20.0,220.0,4400.0,4400.0,valid,4400.0,LKR,delivered,english,,,,,,
DOC00053,delivery_note,නව වෙළඳසැල,ඩිජිටල් උපකරණ,2026-01-23,මේස,33.0,1000.0,33000.0,33000.0,valid,33000.0,LKR,unpaid,sinhala,,,,,,
DOC00054,purchase_order,සිංහ වෙළඳ සමාගම,සීග්‍ර සැපයුම්,2025-11-19,Monitors,6.0,150.0,900.0,900.0,valid,900.0,LKR,pending,english,,,,,,
DOC00055,receipt,Sun Holdings,Lanka Foods,2025-04-11,Rice Bags,16.0,1000.0,16000.0,16000.0,valid,0.0,LKR,delivered,english,,,,,,
DOC00056,delivery_note,නව වෙළඳසැල,නව ආහාර සපයන්නෝ,2025-12-05,Pens,10.0,5000.0,50000.0,50000.0,valid,50000.0,LKR,paid,english,,,,,,
DOC00057,delivery_note,Metro Lanka,Tech World,2025-07-24,Files,30.0,50.0,1500.0,1500.0,valid,1500.0,LKR,unpaid,english,,,,,,
DOC00058,delivery_note,Sun Holdings,ඩිජිටල් උපකරණ,2024-11-20,Files,36.0,2500.0,90000.0,90000.0,valid,90000.0,LKR,delivered,english,,,,,,
DOC00059,delivery_note,Sun Holdings,ඩිජිටල් උපකරණ,2025-10-14,කාර්යාල පොත්,17.0,150.0,2550.0,2550.0,valid,2550.0,LKR,pending,sinhala,,,,,,
DOC00060,receipt,Prime Solutions,ඩිජිටල් උපකරණ,2024-10-05,සීනි පැකට්,46.0,220.0,10120.0,10120.0,valid,0.0,LKR,pending,sinhala,,,,,,
DOC00061,invoice,Sun Holdings,Tech World,2024-06-05,මේස,25.0,8500.0,212500.0,212500.0,valid,212500.0,LKR,unpaid,sinhala,,,,,,
DOC00062,delivery_note,ග්‍රීන් මාර්ට්,ලංකා වෙළඳ සමාගම,2024-03-04,Files,30.0,850.0,25500.0,25500.0,valid,25500.0,LKR,unpaid,english,,,,,,
DOC00063,delivery_note,ලංකා සපයන්නෝ,Lanka Foods,2024-01-07,ආහාර පැකට්,25.0,1000.0,25000.0,25000.0,valid,25000.0,LKR,pending,sinhala,,,,,,
DOC00064,delivery_note,ග්‍රීන් මාර්ට්,කාර්යාල උපකරණ,2025-05-14,පෑන්,39.0,150.0,5850.0,5850.0,valid,5850.0,LKR,unpaid,sinhala,,,,,,
DOC00065,delivery_note,නව වෙළඳසැල,Lanka Foods,2025-11-26,පරිගණක මූසික,22.0,5000.0,110000.0,110000.0,valid,110000.0,LKR,delivered,sinhala,,,,,,
DOC00066,delivery_note,Sun Holdings,සීග්‍ර සැපයුම්,2025-08-29,Files,2.0,850.0,1700.0,1700.0,valid,1700.0,LKR,paid,english,,,,,,
DOC00067,delivery_note,Sun Holdings,ඩිජිටල් උපකරණ,2025-01-23,USB Devices,4.0,220.0,880.0,880.0,valid,880.0,LKR,pending,english,,,,,,
DOC00068,delivery_note,සහන් ට්‍රේඩර්ස්,ලංකා වෙළඳ සමාගම,2024-09-15,Chairs,18.0,850.0,15300.0,15300.0,valid,15300.0,LKR,paid,english,,,,,,
DOC00069,invoice,සිංහ වෙළඳ සමාගම,Lanka Foods,2024-03-11,ලිපිගොනු,15.0,5000.0,75000.0,75000.0,valid,75000.0,LKR,paid,sinhala,,,,,,
DOC00070,receipt,Metro Lanka,Lanka Foods,2025-04-29,Mouse Devices,10.0,150.0,1500.0,1500.0,valid,0.0,LKR,paid,english,,,,,,
DOC00071,delivery_note,Prime Solutions,ලංකා වෙළඳ සමාගම,2026-02-04,USB Devices,39.0,2500.0,97500.0,97500.0,valid,97500.0,LKR,paid,english,,,,,,
DOC00072,purchase_order,XYZ Company,සීග්‍ර සැපයුම්,2025-11-24,Rice Bags,20.0,2500.0,50000.0,50000.0,valid,50000.0,LKR,delivered,english,,,,,,
DOC00073,receipt,XYZ Company,සීග්‍ර සැපයුම්,2025-12-01,මේස,7.0,8500.0,59500.0,59500.0,valid,59500.0,LKR,paid,sinhala,,,,,,
DOC00074,purchase_order,සිංහ වෙළඳ සමාගම,නව ආහාර සපයන්නෝ,2025-10-25,Monitors,5.0,1200.0,6000.0,6000.0,valid,6000.0,LKR,pending,english,,,,,,
DOC00075,delivery_note,නව වෙළඳසැල,Metro Suppliers,2025-04-15,Chairs,24.0,5000.0,120000.0,120000.0,valid,120000.0,LKR,unpaid,english,,,,,,
DOC00076,receipt,සිංහ වෙළඳ සමාගම,Digital Hub,2025-03-22,ආහාර පැකට්,35.0,1000.0,35000.0,35000.0,valid,35000.0,LKR,pending,sinhala,,,,,,
DOC00077,receipt,XYZ Company,Digital Hub,2024-12-10,කාර්යාල පොත්,16.0,1000.0,16000.0,16000.0,valid,16000.0,LKR,paid,sinhala,,,,,,
DOC00078,purchase_order,Sun Holdings,ඩිජිටල් උපකරණ,2024-12-14,මේස,23.0,220.0,5060.0,5060.0,valid,5060.0,LKR,pending,sinhala,,,,,,
DOC00079,invoice,සිංහ වෙළඳ සමාගම,City Office Supplies,2025-02-20,සීනි පැකට්,16.0,8500.0,136000.0,136000.0,valid,136000.0,LKR,delivered,sinhala,,,,,,
DOC00080,delivery_note,නව වෙළඳසැල,ඩිජිටල් උපකරණ,2024-08-14,Rice Bags,6.0,220.0,1320.0,1320.0,valid,1320.0,LKR,delivered,english,,,,,,
DOC00081,purchase_order,ලංකා සපයන්නෝ,ලංකා වෙළඳ සමාගම,2024-12-18,Tables,36.0,1200.0,43200.0,43200.0,valid,43200.0,LKR,delivered,english,,,,,,
DOC00082,purchase_order,නව වෙළඳසැල,Digital Hub,2024-05-03,පුටු,17.0,150.0,2550.0,2550.0,valid,2550.0,LKR,unpaid,sinhala,,,,,,
DOC00083,invoice,සිංහ වෙළඳ සමාගම,Tech World,2025-05-10,මේස,14.0,8500.0,119000.0,119000.0,valid,119000.0,LKR,pending,sinhala,,,,,,
DOC00084,invoice,Metro Lanka,Digital Hub,2024-11-05,මේස,24.0,120.0,2880.0,2880.0,valid,2880.0,LKR,paid,sinhala,,,,,,
DOC00085,purchase_order,ABC Traders,Lanka Foods,2024-05-09,Files,19.0,8500.0,161500.0,161500.0,valid,161500.0,LKR,delivered,english,,,,,,
DOC00086,invoice,ලංකා සපයන්නෝ,Digital Hub,2024-12-14,Tables,31.0,1000.0,31000.0,31000.0,valid,31000.0,LKR,unpaid,english,,,,,,
DOC00087,purchase_order,නව වෙළඳසැල,Metro Suppliers,2024-03-16,Printer Paper,26.0,1000.0,26000.0,26000.0,valid,26000.0,LKR,paid,english,,,,,,
DOC00088,receipt,ලංකා සපයන්නෝ,Digital Hub,2025-09-12,Printer Paper,16.0,100.0,1600.0,1600.0,valid,1600.0,LKR,unpaid,english,,,,,,
DOC00089,delivery_note,නව වෙළඳසැල,Digital Hub,2025-08-05,ආහාර පැකට්,28.0,220.0,6160.0,6160.0,valid,6160.0,LKR,paid,sinhala,,,,,,
DOC00090,receipt,Metro Lanka,Digital Hub,2025-07-19,Printer Paper,11.0,150.0,1650.0,1650.0,valid,0.0,LKR,paid,english,,,,,,
DOC00091,invoice,ග්‍රීන් මාර්ට්,ඩිජිටල් උපකරණ,2024-02-03,Mouse Devices,31.0,220.0,6820.0,6820.0,valid,6820.0,LKR,unpaid,english,,,,,,
DOC00092,purchase_order,නව වෙළඳසැල,Metro Suppliers,2025-08-26,මේස,17.0,5000.0,85000.0,85000.0,valid,85000.0,LKR,unpaid,sinhala,,,,,,
DOC00093,invoice,සිංහ වෙළඳ සමාගම,City Office Supplies,2024-03-14,යතුරුපුවරු,18.0,120.0,2160.0,2160.0,valid,2160.0,LKR,paid,sinhala,,,,,,
DOC00094,purchase_order,ලංකා සපයන්නෝ,සීග්‍ර සැපයුම්,2025-04-24,Keyboards,29.0,100.0,2900.0,2900.0,valid,2900.0,LKR,pending,english,,,,,,
DOC00095,purchase_order,සිංහ වෙළඳ සමාගම,කාර්යාල උපකරණ,2025-09-04,කාර්යාල පොත්,29.0,100.0,2900.0,2900.0,valid,2900.0,LKR,paid,sinhala,,,,,,
DOC00096,purchase_order,ලංකා සපයන්නෝ,Digital Hub,2025-11-21,මුද්‍රණ කඩදාසි,6.0,150.0,900.0,900.0,valid,900.0,LKR,paid,sinhala,,,,,,
DOC00097,invoice,Sun Holdings,ඩිජිටල් උපකරණ,2024-10-11,පෑන්,42.0,1000.0,42000.0,42000.0,valid,42000.0,LKR,unpaid,sinhala,,,,,,
DOC00098,delivery_note,XYZ Company,ඩිජිටල් උපකරණ,2024-11-24,ලිපිගොනු,27.0,500.0,13500.0,13500.0,valid,13500.0,LKR,paid,sinhala,,,,,,
DOC00099,purchase_order,ග්‍රීන් මාර්ට්,ඩිජිටල් උපකරණ,2026-02-17,Keyboards,43.0,850.0,36550.0,36550.0,valid,36550.0,LKR,paid,english,,,,,,
DOC00100,invoice,සහන් ට්‍රේඩර්ස්,Digital Hub,2025-06-10,ලිපිගොනු,8.0,850.0,6800.0,6800.0,valid,6800.0,LKR,paid,sinhala,,,,,,
DOC00101,delivery_note,ABC Traders,City Office Supplies,2026-02-13,පෑන්,24.0,2500.0,60000.0,60000.0,valid,60000.0,LKR,delivered,sinhala,,,,,,
DOC00102,invoice,Metro Lanka,Digital Hub,2025-03-24,පෑන්,9.0,220.0,1980.0,1980.0,valid,1980.0,LKR,delivered,sinhala,,,,,,
DOC00103,invoice,ලංකා සපයන්නෝ,City Office Supplies,2024-01-15,USB Devices,20.0,1200.0,24000.0,24000.0,valid,24000.0,LKR,delivered,english,,,,,,
DOC00104,receipt,XYZ Company,ඩිජිටල් උපකරණ,2026-01-03,Printer Paper,42.0,120.0,5040.0,5040.0,valid,5040.0,LKR,pending,english,,,,,,
DOC00105,delivery_note,නව වෙළඳසැල,ඩිජිටල් උපකරණ,2024-05-28,මේස,30.0,1200.0,36000.0,36000.0,valid,36000.0,LKR,delivered,sinhala,,,,,,
DOC00106,receipt,XYZ Company,Digital Hub,2024-01-03,Chairs,22.0,1200.0,26400.0,26400.0,valid,26400.0,LKR,pending,english,,,,,,
DOC00107,delivery_note,Sun Holdings,ඩිජිටල් උපකරණ,2024-12-06,පෑන්,31.0,500.0,15500.0,15500.0,valid,15500.0,LKR,delivered,sinhala,,,,,,
DOC00108,purchase_order,Metro Lanka,City Office Supplies,2025-02-24,ආහාර පැකට්,25.0,150.0,3750.0,3750.0,valid,3750.0,LKR,paid,sinhala,,,,,,
DOC00109,delivery_note,ග්‍රීන් මාර්ට්,නව ආහාර සපයන්නෝ,2024-05-09,යතුරුපුවරු,32.0,50.0,1600.0,1600.0,valid,1600.0,LKR,pending,sinhala,,,,,,
DOC00110,delivery_note,XYZ Company,කාර්යාල උපකරණ,2024-05-27,Tables,1.0,8500.0,8500.0,8500.0,valid,8500.0,LKR,delivered,english,,,,,,
DOC00111,invoice,නව වෙළඳසැල,Digital Hub,2025-02-11,Monitors,40.0,8500.0,340000.0,340000.0,valid,340000.0,LKR,paid,english,,,,,,
DOC00112,delivery_note,සහන් ට්‍රේඩර්ස්,ඩිජිටල් උපකරණ,2024-03-11,පෑන්,3.0,2500.0,7500.0,7500.0,valid,7500.0,LKR,unpaid,sinhala,,,,,,
DOC00113,receipt,XYZ Company,නව ආහාර සපයන්නෝ,2025-03-30,සීනි පැකට්,49.0,5000.0,245000.0,245000.0,valid,0.0,LKR,unpaid,sinhala,,,,,,
DOC00114,invoice,ABC Traders,ලංකා වෙළඳ සමාගම,2025-01-18,මුද්‍රණ කඩදාසි,19.0,500.0,9500.0,9500.0,valid,9500.0,LKR,delivered,sinhala,,,,,,
DOC00115,receipt,සිංහ වෙළඳ සමාගම,නව ආහාර සපයන්නෝ,2024-06-28,Mouse Devices,44.0,120.0,5280.0,5280.0,valid,0.0,LKR,paid,english,,,,,,
DOC00116,receipt,නව වෙළඳසැල,සීග්‍ර සැපයුම්,2025-04-15,යතුරුපුවරු,15.0,1000.0,15000.0,15000.0,valid,15000.0,LKR,pending,sinhala,,,,,,
DOC00117,delivery_note,Prime Solutions,කාර්යාල උපකරණ,2024-12-19,USB Devices,5.0,1000.0,5000.0,5000.0,valid,5000.0,LKR,pending,english,,,,,,
DOC00118,purchase_order,නව වෙළඳසැල,Digital Hub,2024-04-19,මේස,25.0,1000.0,25000.0,25000.0,valid,25000.0,LKR,unpaid,sinhala,,,,,,
DOC00119,purchase_order,ලංකා සපයන්නෝ,Digital Hub,2025-02-09,පුටු,2.0,5000.0,10000.0,10000.0,valid,10000.0,LKR,pending,sinhala,,,,,,
DOC00120,invoice,ලංකා සපයන්නෝ,ඩිජිටල් උපකරණ,2025-09-13,Keyboards,50.0,150.0,7500.0,7500.0,valid,7500.0,LKR,pending,english,,,,,,
DOC00121,receipt,ලංකා සපයන්නෝ,Digital Hub,2024-11-12,USB Devices,41.0,100.0,4100.0,4100.0,valid,0.0,LKR,delivered,english,,,,,,
DOC00122,purchase_order,Sun Holdings,Metro Suppliers,2025-03-01,Keyboards,21.0,8500.0,178500.0,178500.0,valid,178500.0,LKR,unpaid,english,,,,,,
DOC00123,receipt,සිංහ වෙළඳ සමාගම,ලංකා වෙළඳ සමාගම,2024-09-20,Files,33.0,220.0,7260.0,7260.0,valid,0.0,LKR,delivered,english,,,,,,
DOC00124,purchase_order,XYZ Company,ඩිජිටල් උපකරණ,2025-11-23,සීනි පැකට්,10.0,150.0,1500.0,1500.0,valid,1500.0,LKR,delivered,sinhala,,,,,,
DOC00125,invoice,ග්‍රීන් මාර්ට්,Lanka Foods,2025-04-10,පුටු,35.0,100.0,3500.0,3500.0,valid,3500.0,LKR,pending,sinhala,,,,,,
DOC00126,delivery_note,සහන් ට්‍රේඩර්ස්,Metro Suppliers,2025-09-26,මේස,31.0,50.0,1550.0,1550.0,valid,1550.0,LKR,pending,sinhala,,,,,,
DOC00127,invoice,නව වෙළඳසැල,Digital Hub,2024-02-16,Chairs,8.0,120.0,960.0,960.0,valid,960.0,LKR,paid,english,,,,,,
DOC00128,delivery_note,XYZ Company,Metro Suppliers,2025-02-01,මේස,35.0,120.0,4200.0,4200.0,valid,4200.0,LKR,delivered,sinhala,,,,,,
DOC00129,delivery_note,ලංකා සපයන්නෝ,Tech World,2025-05-16,පරිගණක මූසික,42.0,100.0,4200.0,4200.0,valid,4200.0,LKR,delivered,sinhala,,,,,,
DOC00130,invoice,සහන් ට්‍රේඩර්ස්,City Office Supplies,2025-01-06,කාර්යාල පොත්,29.0,150.0,4350.0,4350.0,valid,4350.0,LKR,paid,sinhala,,,,,,
DOC00131,purchase_order,ABC Traders,නව ආහාර සපයන්නෝ,2025-04-10,පුටු,13.0,100.0,1300.0,1300.0,valid,1300.0,LKR,paid,sinhala,,,,,,
DOC00132,invoice,ABC Traders,ලංකා වෙළඳ සමාගම,2024-07-29,Pens,9.0,2500.0,22500.0,22500.0,valid,22500.0,LKR,paid,english,,,,,,
DOC00133,receipt,Metro Lanka,ලංකා වෙළඳ සමාගම,2024-05-28,USB Devices,39.0,50.0,1950.0,1950.0,valid,1950.0,LKR,unpaid,english,,,,,,
DOC00134,receipt,XYZ Company,Lanka Foods,2025-08-25,යතුරුපුවරු,1.0,500.0,500.0,500.0,valid,0.0,LKR,pending,sinhala,,,,,,
DOC00135,receipt,Prime Solutions,Lanka Foods,2026-02-02,USB Devices,48.0,850.0,40800.0,40800.0,valid,0.0,LKR,paid,english,,,,,,
DOC00136,delivery_note,සහන් ට්‍රේඩර්ස්,කාර්යාල උපකරණ,2025-05-30,ආහාර පැකට්,7.0,1000.0,7000.0,7000.0,valid,7000.0,LKR,unpaid,sinhala,,,,,,
DOC00137,purchase_order,නව වෙළඳසැල,Lanka Foods,2025-03-12,Rice Bags,31.0,850.0,26350.0,26350.0,valid,26350.0,LKR,paid,english,,,,,,
DOC00138,delivery_note,XYZ Company,Metro Suppliers,2024-03-08,ලිපිගොනු,39.0,120.0,4680.0,4680.0,valid,4680.0,LKR,unpaid,sinhala,,,,,,
DOC00139,purchase_order,ග්‍රීන් මාර්ට්,සීග්‍ර සැපයුම්,2025-06-01,පෑන්,19.0,1000.0,19000.0,19000.0,valid,19000.0,LKR,delivered,sinhala,,,,,,
DOC00140,invoice,සිංහ වෙළඳ සමාගම,City Office Supplies,2025-02-27,Chairs,29.0,150.0,4350.0,4350.0,valid,4350.0,LKR,pending,english,,,,,,
DOC00141,delivery_note,ග්‍රීන් මාර්ට්,Metro Suppliers,2025-11-12,ලිපිගොනු,28.0,500.0,14000.0,14000.0,valid,14000.0,LKR,pending,sinhala,,,,,,
DOC00142,receipt,නව වෙළඳසැල,Metro Suppliers,2024-04-08,සීනි පැකට්,6.0,100.0,600.0,600.0,valid,600.0,LKR,pending,sinhala,,,,,,
DOC00143,invoice,ලංකා සපයන්නෝ,කාර්යාල උපකරණ,2024-05-05,Files,22.0,5000.0,110000.0,110000.0,valid,110000.0,LKR,delivered,english,,,,,,
DOC00144,delivery_note,ABC Traders,Digital Hub,2024-04-16,ආහාර පැකට්,20.0,500.0,10000.0,10000.0,valid,10000.0,LKR,unpaid,sinhala,,,,,,
DOC00145,delivery_note,Metro Lanka,Metro Suppliers,2024-04-27,Monitors,36.0,500.0,18000.0,18000.0,valid,18000.0,LKR,pending,english,,,,,,
DOC00146,delivery_note,සිංහ වෙළඳ සමාගම,සීග්‍ර සැපයුම්,2025-07-24,Mouse Devices,44.0,5000.0,220000.0,220000.0,valid,220000.0,LKR,paid,english,,,,,,
DOC00147,invoice,Sun Holdings,Digital Hub,2024-01-07,පුටු,22.0,500.0,11000.0,11000.0,valid,11000.0,LKR,unpaid,sinhala,,,,,,
DOC00148,delivery_note,XYZ Company,Tech World,2025-06-27,Rice Bags,6.0,8500.0,51000.0,51000.0,valid,51000.0,LKR,unpaid,english,,,,,,
DOC00149,delivery_note,නව වෙළඳසැල,ලංකා වෙළඳ සමාගම,2026-01-08,යතුරුපුවරු,24.0,220.0,5280.0,5280.0,valid,5280.0,LKR,pending,sinhala,,,,,,
